MTU,butterfly,distribution_trace_base_dir,fat_tree,forward_pass_as_bytes,fwd_pass_time,gpu_speedup,gradient_size,gswitch_inbuffer_size,gswitch_recv_rate,gswitch_send_rate,horovod,in_network_computation,inputs_as_bytes,iteration_time,json,latency,latency_distribution,latency_std,max_param_size,message_size,model_name,multi_step,num_gswitches,num_ps,num_workers,on_same_rack,optimal_param_distribution,ps_inbuffer_size,ps_recv_rate,ps_send_rate,real_distribution,scattercast,step_num,striping,timeout,topology,tor_inbuffer_size,tor_recv_rate,tor_send_rate,trace_base_dir,use_multicast,verbosity,worker_inbuffer_size,worker_receive_time,worker_recv_rate,worker_send_rate
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.025028176639999847,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,100.0,100.0,0,0,42,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],100.0,100.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.02496540031999985,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,100.0,100.0,0,0,43,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],100.0,100.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.024965400319999848,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,100.0,100.0,0,0,44,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],100.0,100.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.02496540031999985,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,100.0,100.0,0,0,45,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],100.0,100.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.024965400319999848,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,100.0,100.0,0,0,46,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],100.0,100.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.02496540031999985,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,100.0,100.0,0,0,47,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],100.0,100.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.021440320255999953,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,125.0,125.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],125.0,125.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.02135238732799995,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,125.0,125.0,0,0,42,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],125.0,125.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.021491707135999953,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,125.0,125.0,0,0,43,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],125.0,125.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.021425025791999952,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,125.0,125.0,0,0,44,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],125.0,125.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.021440320255999953,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,125.0,125.0,0,0,45,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],125.0,125.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.02140734745599995,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,125.0,125.0,0,0,46,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],125.0,125.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.0,1.0,0.0,-1,10.0,10.0,1,0,0,0.021440320255999953,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,125.0,125.0,0,0,47,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],125.0,125.0
